"Identificador de la página","Nombre de la página","Comentario sobre los datos",Fecha,"Interacciones de usuarios únicos","Comentarios negativos generales","Comentarios negativos generales: Ocultar todo","Comentarios negativos generales: Ocultar","Comentarios negativos generales: Reportar como spam","Comentarios negativos generales: Ya no me gusta esta página","Comentarios negativos generales: Hacer clic en el botón ""X""","Comentarios negativos únicos de los usuarios","Comentarios negativos únicos de los usuarios: Ocultar todo","Comentarios negativos únicos de los usuarios: Ocultar","Comentarios negativos únicos de los usuarios: Ya no me gusta esta página","Comentarios negativos únicos de los usuarios: Reportar como spam","Comentarios negativos únicos de los usuarios: Hacer clic en el botón ""X"""
129618127070181,IdeaPaís,,01/06/2026,5,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/07/2026,4,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/08/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/09/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/11/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/13/2026,5,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/14/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/15/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/17/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/18/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/19/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/20/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/21/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/22/2026,3,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/23/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/24/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/25/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/26/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/27/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/28/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/29/2026,1,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/30/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,01/31/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,02/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
129618127070181,IdeaPaís,,02/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0
