Fecha,Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas interesadas
2025-12-01,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-02,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-03,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-04,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-05,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-06,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-07,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-08,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-09,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-10,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-11,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-12,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,92
2025-12-13,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,108
2025-12-14,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,89
2025-12-15,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,17
2025-12-16,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,2
2025-12-17,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-18,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-19,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,1
2025-12-20,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-21,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
2025-12-22,ITbMrh0msyk,América Castillo analiza el debate presidencial en T13 Noche,"Dec 12, 2025",526,0
