Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%)
Total,6702,345.2449,0:03:28,119704,2.94
Funciones de exploración,2626,153.9388,0:03:31,57656,4.18
Feed de Shorts,1320,4.0367,0:00:20,,
Videos sugeridos,1126,114.5393,0:06:06,48650,1.28
Externas,543,22.8116,0:02:31,,
Búsqueda de YouTube,424,25.3882,0:04:02,7414,4.18
Directa o desconocida,318,8.397,0:01:35,,
Canales de usuario,200,7.2478,0:02:22,5517,2.5
Otras funciones de YouTube,57,6.1617,0:08:01,,
Playlists,49,1.8511,0:02:15,467,7.28
Notificaciones,37,0.8115,0:01:28,,
Shorts relacionados,2,0.0613,0:01:50,,
