Fecha,Ubicación geográfica,Vistas
2025-12-01,AR,0
2025-12-02,AR,0
2025-12-03,AR,0
2025-12-04,AR,0
2025-12-05,AR,0
2025-12-06,AR,0
2025-12-07,AR,0
2025-12-08,AR,0
2025-12-09,AR,0
2025-12-10,AR,0
2025-12-11,AR,132
2025-12-12,AR,10
2025-12-13,AR,0
2025-12-14,AR,0
2025-12-15,AR,0
2025-12-16,AR,0
2025-12-17,AR,0
2025-12-18,AR,0
2025-12-19,AR,0
2025-12-20,AR,0
2025-12-21,AR,0
2025-12-22,AR,0
2025-12-23,AR,0
2025-12-24,AR,0
2025-12-25,AR,0
2025-12-26,AR,12
2025-12-27,AR,0
2025-12-28,AR,0
2025-12-29,AR,0
2025-12-30,AR,0
2025-12-31,AR,0
2025-12-01,CL,22
2025-12-02,CL,22
2025-12-03,CL,33
2025-12-04,CL,66
2025-12-05,CL,115
2025-12-06,CL,70
2025-12-07,CL,212
2025-12-08,CL,26
2025-12-09,CL,26
2025-12-10,CL,48
2025-12-11,CL,883
2025-12-12,CL,644
2025-12-13,CL,230
2025-12-14,CL,85
2025-12-15,CL,127
2025-12-16,CL,48
2025-12-17,CL,89
2025-12-18,CL,204
2025-12-19,CL,49
2025-12-20,CL,43
2025-12-21,CL,33
2025-12-22,CL,36
2025-12-23,CL,26
2025-12-24,CL,29
2025-12-25,CL,16
2025-12-26,CL,629
2025-12-27,CL,322
2025-12-28,CL,161
2025-12-29,CL,60
2025-12-30,CL,36
2025-12-31,CL,15
2025-12-01,CO,0
2025-12-02,CO,0
2025-12-03,CO,0
2025-12-04,CO,0
2025-12-05,CO,0
2025-12-06,CO,0
2025-12-07,CO,0
2025-12-08,CO,0
2025-12-09,CO,0
2025-12-10,CO,0
2025-12-11,CO,17
2025-12-12,CO,0
2025-12-13,CO,0
2025-12-14,CO,0
2025-12-15,CO,0
2025-12-16,CO,0
2025-12-17,CO,0
2025-12-18,CO,0
2025-12-19,CO,0
2025-12-20,CO,0
2025-12-21,CO,0
2025-12-22,CO,0
2025-12-23,CO,0
2025-12-24,CO,0
2025-12-25,CO,0
2025-12-26,CO,0
2025-12-27,CO,0
2025-12-28,CO,0
2025-12-29,CO,0
2025-12-30,CO,0
2025-12-31,CO,0
2025-12-01,EC,0
2025-12-02,EC,0
2025-12-03,EC,0
2025-12-04,EC,0
2025-12-05,EC,0
2025-12-06,EC,0
2025-12-07,EC,0
2025-12-08,EC,0
2025-12-09,EC,0
2025-12-10,EC,0
2025-12-11,EC,10
2025-12-12,EC,0
2025-12-13,EC,0
2025-12-14,EC,0
2025-12-15,EC,0
2025-12-16,EC,0
2025-12-17,EC,0
2025-12-18,EC,0
2025-12-19,EC,0
2025-12-20,EC,0
2025-12-21,EC,0
2025-12-22,EC,0
2025-12-23,EC,0
2025-12-24,EC,0
2025-12-25,EC,0
2025-12-26,EC,0
2025-12-27,EC,0
2025-12-28,EC,0
2025-12-29,EC,0
2025-12-30,EC,0
2025-12-31,EC,0
2025-12-01,ES,0
2025-12-02,ES,0
2025-12-03,ES,0
2025-12-04,ES,0
2025-12-05,ES,0
2025-12-06,ES,0
2025-12-07,ES,0
2025-12-08,ES,0
2025-12-09,ES,0
2025-12-10,ES,0
2025-12-11,ES,174
2025-12-12,ES,139
2025-12-13,ES,0
2025-12-14,ES,0
2025-12-15,ES,0
