Fecha,Usuarios nuevos y recurrentes,Vistas
2026-01-01,Usuarios nuevos,25
2026-01-02,Usuarios nuevos,650
2026-01-03,Usuarios nuevos,41
2026-01-04,Usuarios nuevos,28
2026-01-05,Usuarios nuevos,33
2026-01-06,Usuarios nuevos,26
2026-01-07,Usuarios nuevos,24
2026-01-08,Usuarios nuevos,111
2026-01-09,Usuarios nuevos,71
2026-01-10,Usuarios nuevos,50
2026-01-11,Usuarios nuevos,75
2026-01-12,Usuarios nuevos,73
2026-01-13,Usuarios nuevos,1498
2026-01-14,Usuarios nuevos,316
2026-01-15,Usuarios nuevos,1213
2026-01-16,Usuarios nuevos,205
2026-01-17,Usuarios nuevos,805
2026-01-18,Usuarios nuevos,706
2026-01-19,Usuarios nuevos,55
2026-01-20,Usuarios nuevos,84
2026-01-21,Usuarios nuevos,78
2026-01-22,Usuarios nuevos,85
2026-01-23,Usuarios nuevos,59
2026-01-24,Usuarios nuevos,74
2026-01-25,Usuarios nuevos,116
2026-01-26,Usuarios nuevos,36
2026-01-27,Usuarios nuevos,16
2026-01-28,Usuarios nuevos,29
2026-01-29,Usuarios nuevos,22
2026-01-30,Usuarios nuevos,29
2026-01-31,Usuarios nuevos,24
2026-01-01,Usuarios recurrentes,5
2026-01-02,Usuarios recurrentes,41
2026-01-03,Usuarios recurrentes,41
2026-01-04,Usuarios recurrentes,26
2026-01-05,Usuarios recurrentes,18
2026-01-06,Usuarios recurrentes,29
2026-01-07,Usuarios recurrentes,8
2026-01-08,Usuarios recurrentes,25
2026-01-09,Usuarios recurrentes,25
2026-01-10,Usuarios recurrentes,26
2026-01-11,Usuarios recurrentes,22
2026-01-12,Usuarios recurrentes,34
2026-01-13,Usuarios recurrentes,109
2026-01-14,Usuarios recurrentes,113
2026-01-15,Usuarios recurrentes,311
2026-01-16,Usuarios recurrentes,109
2026-01-17,Usuarios recurrentes,75
2026-01-18,Usuarios recurrentes,105
2026-01-19,Usuarios recurrentes,31
2026-01-20,Usuarios recurrentes,43
2026-01-21,Usuarios recurrentes,27
2026-01-22,Usuarios recurrentes,31
2026-01-23,Usuarios recurrentes,28
2026-01-24,Usuarios recurrentes,29
2026-01-25,Usuarios recurrentes,71
2026-01-26,Usuarios recurrentes,19
2026-01-27,Usuarios recurrentes,22
2026-01-28,Usuarios recurrentes,17
2026-01-29,Usuarios recurrentes,2
2026-01-30,Usuarios recurrentes,11
2026-01-31,Usuarios recurrentes,10
