Fuente de tráfico,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas,Impresiones,Tasa de clics de las impresiones (%)
Total,8120,355.28,0:03:51,83263,2.68
Feed de Shorts,3757,19.3431,0:00:51,,
Búsqueda de YouTube,1109,77.0998,0:04:36,15666,5.68
Videos sugeridos,953,108.1551,0:06:48,43401,1.23
Externas,892,78.0862,0:05:16,,
Funciones de exploración,812,48.3123,0:03:36,19437,3.5
Directa o desconocida,323,9.8357,0:01:49,,
Canales de usuario,151,4.85,0:02:07,4373,2.58
Otras funciones de YouTube,77,7.0471,0:06:42,,
Notificaciones,24,1.1923,0:03:24,,
Playlists,19,1.3416,0:04:14,386,3.11
Páginas de hashtag,2,0.0162,0:00:58,,
Páginas de sonido,1,0.0005,,,
